"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058192.1",0,1.53819,NA
"NC_058192.1",1,NA,0.000260876
"NC_058192.1",10000,0.677681,NA
"NC_058192.1",10001,NA,0.00362325
"NC_058192.1",20000,-0.209534,NA
"NC_058192.1",20001,NA,0.000602318
"NC_058192.1",30000,-0.155841,NA
"NC_058192.1",30001,NA,0.00153933
"NC_058192.1",40000,-0.302021,NA
"NC_058192.1",40001,NA,0.00161133
"NC_058192.1",50000,-0.86494,NA
"NC_058192.1",50001,NA,0.00110334
"NC_058192.1",60000,-0.0652147,NA
"NC_058192.1",60001,NA,0.00121994
"NC_058192.1",70000,0.00692694,NA
"NC_058192.1",70001,NA,0.00107059
"NC_058192.1",80000,0.0194248,NA
"NC_058192.1",80001,NA,0.00444572
"NC_058192.1",90000,0.0335338,NA
"NC_058192.1",90001,NA,0.00439608
"NC_058192.1",100000,-0.290072,NA
"NC_058192.1",100001,NA,0.00255507
"NC_058192.1",110000,0.38226,NA
"NC_058192.1",110001,NA,0.00174126
"NC_058192.1",120000,0.0248816,NA
"NC_058192.1",120001,NA,0.00177468
"NC_058192.1",130000,-0.0138979,NA
"NC_058192.1",130001,NA,0.00275066
"NC_058192.1",140000,-0.363467,NA
"NC_058192.1",140001,NA,0.00231342
"NC_058192.1",150000,-0.12887,NA
"NC_058192.1",150001,NA,0.00255487
"NC_058192.1",160000,0.0283518,NA
"NC_058192.1",160001,NA,0.00261129
"NC_058192.1",170000,0.0652656,NA
"NC_058192.1",170001,NA,0.00286741
"NC_058192.1",180000,0.330829,NA
"NC_058192.1",180001,NA,0.00235066
"NC_058192.1",190000,0.259101,NA
"NC_058192.1",190001,NA,0.00283917
"NC_058192.1",200000,0.0774374,NA
"NC_058192.1",200001,NA,0.00396742
"NC_058192.1",210000,0.129034,NA
"NC_058192.1",210001,NA,0.00321557
"NC_058192.1",220000,0.0801016,NA
"NC_058192.1",220001,NA,0.00211872
"NC_058192.1",230000,-0.388748,NA
"NC_058192.1",230001,NA,0.00238721
"NC_058192.1",240000,-0.151376,NA
"NC_058192.1",240001,NA,0.00425203
"NC_058192.1",250000,-0.0762318,NA
"NC_058192.1",250001,NA,0.00241464
"NC_058192.1",260000,0.492875,NA
"NC_058192.1",260001,NA,0.00387721
"NC_058192.1",270000,0.567818,NA
"NC_058192.1",270001,NA,0.00625247
"NC_058192.1",280000,-0.0449448,NA
"NC_058192.1",280001,NA,0.00297914
"NC_058192.1",290000,0.313548,NA
"NC_058192.1",290001,NA,0.0031349
"NC_058192.1",300000,-0.544069,NA
"NC_058192.1",300001,NA,0.00171186
"NC_058192.1",310000,-0.23661,NA
"NC_058192.1",310001,NA,0.00236179
"NC_058192.1",320000,0.0531284,NA
"NC_058192.1",320001,NA,0.00335928
"NC_058192.1",330000,-0.0468617,NA
"NC_058192.1",330001,NA,0.00244326
"NC_058192.1",340000,-0.405943,NA
"NC_058192.1",340001,NA,0.00115538
"NC_058192.1",350000,0.330862,NA
"NC_058192.1",350001,NA,0.000704275
"NC_058192.1",360000,0.0895174,NA
"NC_058192.1",360001,NA,0.000390726
"NC_058192.1",370000,-0.394517,NA
"NC_058192.1",370001,NA,0.000576403
"NC_058192.1",380000,0.174396,NA
"NC_058192.1",380001,NA,0.00142064
"NC_058192.1",390000,-0.421176,NA
"NC_058192.1",390001,NA,3.83507e-05
"NC_058192.1",400000,-1.52162,NA
"NC_058192.1",400001,NA,0.000195026
"NC_058192.1",410000,-0.111718,NA
"NC_058192.1",410001,NA,0.000454876
"NC_058192.1",420000,1.07228,NA
"NC_058192.1",420001,NA,0.000635748
"NC_058192.1",430000,0.653614,NA
"NC_058192.1",430001,NA,0.00276274
"NC_058192.1",440000,0.525068,NA
"NC_058192.1",440001,NA,0.00260194
"NC_058192.1",450000,0.212083,NA
"NC_058192.1",450001,NA,0.00306348
"NC_058192.1",460000,-0.302215,NA
"NC_058192.1",460001,NA,0.00262906
"NC_058192.1",470000,0.0310789,NA
"NC_058192.1",470001,NA,0.00125986
"NC_058192.1",480000,0.0358172,NA
"NC_058192.1",480001,NA,0.000519025
"NC_058192.1",490000,0.0780341,NA
"NC_058192.1",490001,NA,0.000276968
"NC_058192.1",500000,-0.195464,NA
"NC_058192.1",500001,NA,0.00137924
"NC_058192.1",510000,-0.424165,NA
"NC_058192.1",510001,NA,0.00112256
"NC_058192.1",520000,-0.422796,NA
"NC_058192.1",520001,NA,0.00223636
"NC_058192.1",530000,0.587824,NA
"NC_058192.1",530001,NA,0.00676857
"NC_058192.1",540000,0.159522,NA
"NC_058192.1",540001,NA,0.00139039
"NC_058192.1",550000,NA,NA
