"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058196.1",650000,-1.07622,NA
"NC_058196.1",650001,NA,2.88166e-05
"NC_058196.1",660000,0.574531,NA
"NC_058196.1",660001,NA,0.000213886
"NC_058196.1",670000,NA,NA
"NC_058196.1",680000,-0.495564,NA
"NC_058196.1",680001,NA,0.000590133
"NC_058196.1",690000,-0.482845,NA
"NC_058196.1",690001,NA,0.000294039
"NC_058196.1",700000,-0.173242,NA
"NC_058196.1",700001,NA,0.000372827
"NC_058196.1",710000,-1.405,NA
"NC_058196.1",710001,NA,0.000385075
"NC_058196.1",720000,NA,NA
"NC_058196.1",730000,-0.280382,NA
"NC_058196.1",730001,NA,0.000253518
"NC_058196.1",740000,-0.797295,NA
"NC_058196.1",740001,NA,0.000251014
"NC_058196.1",750000,-0.910781,NA
"NC_058196.1",750001,NA,7.80702e-05
"NC_058196.1",760000,-0.32069,NA
"NC_058196.1",760001,NA,4.02322e-05
"NC_058196.1",770000,0.492741,NA
"NC_058196.1",770001,NA,2.60461e-05
"NC_058196.1",780000,-0.939323,NA
"NC_058196.1",780001,NA,0.000118332
"NC_058196.1",790000,-1.23461,NA
"NC_058196.1",790001,NA,0.000172459
"NC_058196.1",800000,NA,NA
"NC_058196.1",810000,-1.10695,NA
"NC_058196.1",810001,NA,0.00034234
"NC_058196.1",820000,-0.121181,NA
"NC_058196.1",820001,NA,0.000492023
"NC_058196.1",830000,-0.96734,NA
"NC_058196.1",830001,NA,0.000162916
"NC_058196.1",840000,NA,NA
"NC_058196.1",840001,NA,1.49429e-05
"NC_058196.1",850000,0.262749,NA
"NC_058196.1",850001,NA,5.32691e-05
"NC_058196.1",860000,-1.06976,NA
"NC_058196.1",860001,NA,9.6922e-06
"NC_058196.1",870000,-1.15098,NA
"NC_058196.1",870001,NA,0.000142957
"NC_058196.1",880000,-0.95824,NA
"NC_058196.1",880001,NA,1.49699e-05
"NC_058196.1",890000,NA,NA
"NC_058196.1",900000,-1.08508,NA
"NC_058196.1",900001,NA,9.79662e-06
"NC_058196.1",910000,-0.9782,NA
"NC_058196.1",910001,NA,1.15993e-05
"NC_058196.1",920000,-0.265713,NA
"NC_058196.1",920001,NA,7.22372e-05
"NC_058196.1",930000,NA,NA
"NC_058196.1",940000,-0.32344,NA
"NC_058196.1",940001,NA,1.12855e-05
"NC_058196.1",950000,NA,NA
"NC_058196.1",960000,NA,NA
"NC_058196.1",970000,1.7817,NA
"NC_058196.1",970001,NA,4.11449e-05
"NC_058196.1",980000,NA,NA
"NC_058196.1",990000,NA,NA
"NC_058196.1",1000000,-0.577667,NA
"NC_058196.1",1000001,NA,7.5237e-06
"NC_058196.1",1010000,-1.16121,NA
"NC_058196.1",1010001,NA,8.47039e-05
"NC_058196.1",1020000,NA,NA
"NC_058196.1",1030000,-0.917456,NA
"NC_058196.1",1030001,NA,0.000207098
"NC_058196.1",1040000,NA,NA
"NC_058196.1",1050000,-0.171754,NA
"NC_058196.1",1050001,NA,1.26179e-05
"NC_058196.1",1060000,NA,NA
"NC_058196.1",1070000,NA,NA
"NC_058196.1",1080000,-0.193703,NA
"NC_058196.1",1080001,NA,4.21652e-05
"NC_058196.1",1090000,NA,NA
"NC_058196.1",1100000,NA,NA
"NC_058196.1",1110000,-0.896051,NA
"NC_058196.1",1110001,NA,1.38198e-05
"NC_058196.1",1120000,NA,NA
"NC_058196.1",1130000,NA,NA
"NC_058196.1",1140000,NA,NA
"NC_058196.1",1150000,-0.537714,NA
"NC_058196.1",1150001,NA,0.000181006
"NC_058196.1",1160000,-0.194985,NA
"NC_058196.1",1160001,NA,1.29836e-05
"NC_058196.1",1170000,NA,NA
"NC_058196.1",1180000,NA,NA
"NC_058196.1",1190000,NA,NA
"NC_058196.1",1200000,NA,NA
"NC_058196.1",1210000,NA,NA
"NC_058196.1",1220000,NA,NA
"NC_058196.1",1230000,NA,NA
"NC_058196.1",1240000,NA,NA
"NC_058196.1",1250000,-0.631893,NA
"NC_058196.1",1250001,NA,8.35953e-06
"NC_058196.1",1260000,NA,NA
"NC_058196.1",1270000,NA,NA
"NC_058196.1",1280000,NA,NA
"NC_058196.1",1290000,NA,NA
"NC_058196.1",1300000,NA,NA
"NC_058196.1",1310000,-1.49556,NA
"NC_058196.1",1310001,NA,2.61514e-05
"NC_058196.1",1320000,NA,NA
"NC_058196.1",1330000,NA,NA
"NC_058196.1",1340000,NA,NA
"NC_058196.1",1350000,-0.577667,NA
"NC_058196.1",1350001,NA,7.5237e-06
"NC_058196.1",1360000,-1.51656,NA
"NC_058196.1",1360001,NA,7.83756e-06
"NC_058196.1",1370000,-0.942989,NA
"NC_058196.1",1370001,NA,5.42623e-05
"NC_058196.1",1380000,-0.188377,NA
"NC_058196.1",1380001,NA,0.000299045
"NC_058196.1",1390000,-1.02657,NA
"NC_058196.1",1390001,NA,0.000112854
"NC_058196.1",1400000,0.0226255,NA
"NC_058196.1",1400001,NA,0.000132416
"NC_058196.1",1410000,NA,NA
"NC_058196.1",1420000,-0.876783,NA
"NC_058196.1",1420001,NA,3.97083e-06
"NC_058196.1",1430000,-0.869092,NA
"NC_058196.1",1430001,NA,3.86635e-06
"NC_058196.1",1440000,NA,NA
"NC_058196.1",1450000,NA,NA
"NC_058196.1",1460000,NA,NA
"NC_058196.1",1470000,NA,NA
"NC_058196.1",1480000,NA,NA
"NC_058196.1",1490000,-1.29346,NA
