"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058197.1",40001,0.0162777,-0.000838969,-0.0382252
"NC_058197.1",55001,0.0194441,0.00548669,0.0304904
"NC_058197.1",95001,0.115986,0.0072713,0.034893
"NC_058197.1",110001,-0.0369253,0.0200762,-0.0407335
"NC_058197.1",235001,0.0576506,0.0239966,-0.0440952
"NC_058197.1",250001,-0.0916347,0.0307464,-0.0473815
"NC_058197.1",270001,-0.0668677,0.00562595,-0.0453571
"NC_058197.1",505001,-0.0674422,0.0338223,-0.00110141
"NC_058197.1",775001,-0.020075,0.0509108,-0.0289011
"NC_058197.1",855001,-0.0547491,-0.00711762,-0.0466072
"NC_058197.1",935001,-0.0484892,-0.00299822,-0.0667578
"NC_058197.1",1060001,0.458558,-0.00146685,0.474472
"NC_058197.1",1115001,NA,0.0446755,-0.0365344
"NC_058197.1",1135001,0.00296084,0.00759405,-0.0267999
"NC_058197.1",1195001,0.395892,0.0293153,0.00567537
"NC_058197.1",1385001,-0.0381275,0.0255196,0.105728
"NC_058197.1",1465001,-0.0222268,-0.0042781,-0.0365743
"NC_058197.1",1570001,-0.0577159,-0.0133765,-0.0564787
"NC_058197.1",1650001,-0.0525582,-0.00148679,-0.096821
"NC_058197.1",1655001,-0.0937845,0.0212647,-0.0390179
"NC_058197.1",1670001,0.120302,0.00743227,0.178563
"NC_058197.1",1675001,0.148756,-0.00330571,0.12947
"NC_058197.1",1680001,0.0115593,-0.00322547,0.0824328
"NC_058197.1",1685001,0.0473099,0.00177911,0.0745587
"NC_058197.1",1690001,-0.0403962,0.00952278,-0.00309833
"NC_058197.1",1695001,0.105323,0.00410025,0.180996
"NC_058197.1",1705001,0.10091,0.0275058,-0.0664963
"NC_058197.1",1710001,-0.0669742,0.002941,-0.0775984
"NC_058197.1",1715001,-0.0464229,-0.00957666,-0.0570864
"NC_058197.1",1725001,-0.0436421,0.0073485,-0.0803957
"NC_058197.1",1730001,-0.0816709,-0.00215718,-0.0596208
"NC_058197.1",1740001,-0.0384036,-0.00471509,-0.0349346
"NC_058197.1",1870001,-0.0769938,-0.000736531,-0.0615741
"NC_058197.1",2565001,-0.0534102,-0.00981624,-0.069028
"NC_058197.1",3860001,-0.0484612,-0.00222271,-0.0667802
"NC_058197.1",3935001,0.0642273,-0.00236129,0.0880631
"NC_058197.1",3940001,-0.0422926,0.0302429,-0.0916468
"NC_058197.1",3945001,0.954545,0.030543,0.678002
"NC_058197.1",4150001,-0.0438058,0.00828117,-0.0499718
"NC_058197.1",4180001,0.109187,-0.00696995,0.151095
"NC_058197.1",4190001,-0.0895418,-0.00358052,-0.119639
"NC_058197.1",4195001,0.0714032,0.0145348,-0.0545279
