"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058195.1",0,-0.236842,NA
"NC_058195.1",1,NA,0.000756413
"NC_058195.1",10000,-1.27331,NA
"NC_058195.1",10001,NA,0.00140271
"NC_058195.1",20000,-0.352972,NA
"NC_058195.1",20001,NA,0.00188176
"NC_058195.1",30000,-0.391151,NA
"NC_058195.1",30001,NA,0.00225819
"NC_058195.1",40000,0.328417,NA
"NC_058195.1",40001,NA,0.00178244
"NC_058195.1",50000,0.545413,NA
"NC_058195.1",50001,NA,0.00283842
"NC_058195.1",60000,-0.203607,NA
"NC_058195.1",60001,NA,0.00189203
"NC_058195.1",70000,-0.241603,NA
"NC_058195.1",70001,NA,0.00280189
"NC_058195.1",80000,-0.475315,NA
"NC_058195.1",80001,NA,0.00220835
"NC_058195.1",90000,-0.509449,NA
"NC_058195.1",90001,NA,0.00226925
"NC_058195.1",100000,-0.487585,NA
"NC_058195.1",100001,NA,0.000923996
"NC_058195.1",110000,-0.636718,NA
"NC_058195.1",110001,NA,0.000417407
"NC_058195.1",120000,-0.622432,NA
"NC_058195.1",120001,NA,0.000918704
"NC_058195.1",130000,0.261586,NA
"NC_058195.1",130001,NA,0.00125329
"NC_058195.1",140000,-0.271628,NA
"NC_058195.1",140001,NA,0.00164815
"NC_058195.1",150000,0.0203945,NA
"NC_058195.1",150001,NA,0.00345492
"NC_058195.1",160000,-0.480238,NA
"NC_058195.1",160001,NA,0.00308349
"NC_058195.1",170000,-0.38696,NA
"NC_058195.1",170001,NA,0.00121564
"NC_058195.1",180000,-0.21153,NA
"NC_058195.1",180001,NA,0.000448506
"NC_058195.1",190000,-1.06419,NA
"NC_058195.1",190001,NA,0.000926115
"NC_058195.1",200000,-0.608398,NA
"NC_058195.1",200001,NA,0.000978215
"NC_058195.1",210000,-1.0258,NA
"NC_058195.1",210001,NA,0.000478022
"NC_058195.1",220000,-1.02115,NA
"NC_058195.1",220001,NA,0.000721097
"NC_058195.1",230000,-0.182192,NA
"NC_058195.1",230001,NA,0.000431064
"NC_058195.1",240000,-0.0268836,NA
"NC_058195.1",240001,NA,0.00347866
"NC_058195.1",250000,0.296126,NA
"NC_058195.1",250001,NA,0.00415922
"NC_058195.1",260000,0.675928,NA
"NC_058195.1",260001,NA,0.000990432
"NC_058195.1",270000,-0.356228,NA
"NC_058195.1",270001,NA,0.00160514
"NC_058195.1",280000,0.252791,NA
"NC_058195.1",280001,NA,0.00260362
"NC_058195.1",290000,-0.886969,NA
"NC_058195.1",290001,NA,0.00105023
"NC_058195.1",300000,-0.575366,NA
"NC_058195.1",300001,NA,0.00192155
"NC_058195.1",310000,-0.222597,NA
