"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058191.1",10000,-0.640404,NA
"NC_058191.1",10001,NA,0.000232603
"NC_058191.1",20000,-0.0433373,NA
"NC_058191.1",20001,NA,0.000327517
"NC_058191.1",30000,0.17909,NA
"NC_058191.1",30001,NA,0.000937081
"NC_058191.1",40000,-0.715892,NA
"NC_058191.1",40001,NA,0.00083858
"NC_058191.1",50000,0.0747104,NA
"NC_058191.1",50001,NA,0.000575159
"NC_058191.1",60000,1.56636,NA
"NC_058191.1",60001,NA,0.000712512
"NC_058191.1",70000,2.04577,NA
"NC_058191.1",70001,NA,0.000197376
"NC_058191.1",80000,NA,NA
"NC_058191.1",90000,0.269265,NA
"NC_058191.1",90001,NA,0.000565353
"NC_058191.1",100000,-0.231966,NA
"NC_058191.1",100001,NA,0.000997947
"NC_058191.1",110000,0.108703,NA
"NC_058191.1",110001,NA,0.00108043
"NC_058191.1",120000,-0.935628,NA
"NC_058191.1",120001,NA,0.00036847
"NC_058191.1",130000,0.367536,NA
"NC_058191.1",130001,NA,0.000823068
"NC_058191.1",140000,0.0795104,NA
"NC_058191.1",140001,NA,0.00123898
"NC_058191.1",150000,0.204704,NA
"NC_058191.1",150001,NA,0.00100194
"NC_058191.1",160000,0.580377,NA
"NC_058191.1",160001,NA,0.00163745
"NC_058191.1",170000,0.274411,NA
"NC_058191.1",170001,NA,5.63509e-05
"NC_058191.1",180000,0.562866,NA
"NC_058191.1",180001,NA,0.00191435
"NC_058191.1",190000,0.0124879,NA
"NC_058191.1",190001,NA,0.000588667
"NC_058191.1",200000,0.850068,NA
"NC_058191.1",200001,NA,0.000596072
"NC_058191.1",210000,-0.418367,NA
"NC_058191.1",210001,NA,0.000178176
"NC_058191.1",220000,0.259837,NA
"NC_058191.1",220001,NA,0.00074548
"NC_058191.1",230000,0.761839,NA
"NC_058191.1",230001,NA,0.000670324
"NC_058191.1",240000,0.581937,NA
"NC_058191.1",240001,NA,0.00113691
"NC_058191.1",250000,NA,NA
"NC_058191.1",260000,-1.07213,NA
"NC_058191.1",260001,NA,9.74445e-06
"NC_058191.1",270000,-0.133492,NA
"NC_058191.1",270001,NA,0.000940545
"NC_058191.1",280000,0.337364,NA
"NC_058191.1",280001,NA,0.0002418
"NC_058191.1",290000,0.344645,NA
"NC_058191.1",290001,NA,0.000657227
"NC_058191.1",300000,-0.0654058,NA
"NC_058191.1",300001,NA,0.000128725
"NC_058191.1",310000,-0.455177,NA
"NC_058191.1",310001,NA,0.000208056
"NC_058191.1",320000,0.817348,NA
"NC_058191.1",320001,NA,0.000286158
"NC_058191.1",330000,1.54686,NA
"NC_058191.1",330001,NA,0.000204912
"NC_058191.1",340000,NA,NA
"NC_058191.1",350000,0.245267,NA
"NC_058191.1",350001,NA,0.000397121
"NC_058191.1",360000,0.155356,NA
"NC_058191.1",360001,NA,5.53579e-05
"NC_058191.1",370000,-0.639003,NA
"NC_058191.1",370001,NA,3.54515e-05
"NC_058191.1",380000,0.480722,NA
"NC_058191.1",380001,NA,0.00135305
"NC_058191.1",390000,0.509835,NA
"NC_058191.1",390001,NA,0.00119935
"NC_058191.1",400000,-0.165412,NA
"NC_058191.1",400001,NA,0.000734471
"NC_058191.1",410000,1.1275,NA
"NC_058191.1",410001,NA,0.00127042
"NC_058191.1",420000,-0.8841,NA
"NC_058191.1",420001,NA,4.07531e-06
"NC_058191.1",430000,0.383968,NA
"NC_058191.1",430001,NA,0.00087745
"NC_058191.1",440000,-0.669588,NA
"NC_058191.1",440001,NA,0.000254227
"NC_058191.1",450000,0.646241,NA
"NC_058191.1",450001,NA,0.000554796
"NC_058191.1",460000,0.672542,NA
"NC_058191.1",460001,NA,4.67101e-05
"NC_058191.1",470000,-0.636037,NA
"NC_058191.1",470001,NA,4.07028e-05
"NC_058191.1",480000,-1.18296,NA
"NC_058191.1",480001,NA,1.80521e-05
"NC_058191.1",490000,NA,NA
"NC_058191.1",500000,0.950307,NA
"NC_058191.1",500001,NA,0.00066885
"NC_058191.1",510000,0.0396473,NA
"NC_058191.1",510001,NA,0.00177915
"NC_058191.1",520000,-0.436634,NA
"NC_058191.1",520001,NA,0.00347812
"NC_058191.1",530000,-0.0687442,NA
"NC_058191.1",530001,NA,0.000184476
"NC_058191.1",540000,NA,NA
"NC_058191.1",550000,-0.429873,NA
"NC_058191.1",550001,NA,0.000198995
"NC_058191.1",560000,0.423201,NA
"NC_058191.1",560001,NA,0.00073634
"NC_058191.1",570000,-0.806115,NA
"NC_058191.1",570001,NA,4.11466e-05
"NC_058191.1",580000,0.323099,NA
"NC_058191.1",580001,NA,0.000163736
"NC_058191.1",590000,-0.4158,NA
"NC_058191.1",590001,NA,0.000278727
"NC_058191.1",600000,-0.0734102,NA
"NC_058191.1",600001,NA,0.00276216
"NC_058191.1",610000,NA,NA
"NC_058191.1",620000,0.191869,NA
"NC_058191.1",620001,NA,0.000307028
"NC_058191.1",630000,NA,NA
"NC_058191.1",640000,0.240287,NA
"NC_058191.1",640001,NA,8.04369e-05
"NC_058191.1",650000,NA,NA
"NC_058191.1",660000,-0.584836,NA
"NC_058191.1",660001,NA,3.08015e-05
"NC_058191.1",670000,0.133072,NA
"NC_058191.1",670001,NA,6.67244e-05
"NC_058191.1",680000,NA,NA
"NC_058191.1",690000,NA,NA
"NC_058191.1",700000,-0.399463,NA
"NC_058191.1",700001,NA,0.000174226
"NC_058191.1",710000,-1.52254,NA
"NC_058191.1",710001,NA,0.00012665
"NC_058191.1",720000,-0.956097,NA
"NC_058191.1",720001,NA,3.65223e-05
"NC_058191.1",730000,-0.775663,NA
"NC_058191.1",730001,NA,0.000239239
"NC_058191.1",740000,NA,NA
"NC_058191.1",750000,NA,NA
"NC_058191.1",760000,-0.60606,NA
"NC_058191.1",760001,NA,7.94162e-06
"NC_058191.1",770000,-0.637653,NA
"NC_058191.1",770001,NA,4.76512e-05
"NC_058191.1",780000,0.532876,NA
"NC_058191.1",780001,NA,8.34691e-05
"NC_058191.1",790000,-1.19537,NA
"NC_058191.1",790001,NA,8.30743e-06
"NC_058191.1",800000,0.179602,NA
"NC_058191.1",800001,NA,8.82783e-05
"NC_058191.1",810000,0.525126,NA
"NC_058191.1",810001,NA,3.10614e-05
"NC_058191.1",820000,NA,NA
"NC_058191.1",830000,-0.997618,NA
"NC_058191.1",830001,NA,3.39364e-05
"NC_058191.1",840000,0.272,NA
"NC_058191.1",840001,NA,0.000125619
"NC_058191.1",850000,0.369232,NA
"NC_058191.1",850001,NA,3.97351e-05
"NC_058191.1",860000,NA,NA
"NC_058191.1",870000,NA,NA
"NC_058191.1",880000,0.636514,NA
"NC_058191.1",880001,NA,0.000214859
"NC_058191.1",890000,0.344989,NA
"NC_058191.1",890001,NA,0.000197808
"NC_058191.1",900000,0.0582956,NA
"NC_058191.1",900001,NA,0.000782597
"NC_058191.1",910000,0.522641,NA
"NC_058191.1",910001,NA,0.00292184
"NC_058191.1",920000,NA,NA
"NC_058191.1",930000,-0.323854,NA
"NC_058191.1",930001,NA,2.57063e-05
"NC_058191.1",940000,NA,NA
