"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058193.1",1,0.0147928,-0.000603113,0.0342654
"NC_058193.1",190001,-0.0916347,0.00381722,-0.0697357
"NC_058193.1",195001,0.0683054,0.0155595,0.0362151
"NC_058193.1",210001,-0.0286819,0.0347328,-0.0172477
"NC_058193.1",250001,-0.0337865,-0.00170014,0.00171217
"NC_058193.1",300001,0.0429775,0.0106007,-0.0184894
"NC_058193.1",310001,0.0286667,0.0169111,0.0152931
"NC_058193.1",540001,-0.0377556,0.0121104,-0.075997
"NC_058193.1",570001,-0.0916347,0.00381722,-0.0697357
"NC_058193.1",590001,0.211849,0.0369524,0.0257479
"NC_058193.1",725001,0.014802,-0.00349126,0.0221707
"NC_058193.1",865001,0.176177,0.0025695,0.215922
"NC_058193.1",900001,-0.00551934,0.00231484,0.00599467
"NC_058193.1",960001,0.094151,0.0301495,0.00704775
"NC_058193.1",965001,-0.0651419,0.0266908,-0.0799404
"NC_058193.1",975001,-0.0870617,-0.000752917,-0.0301225
"NC_058193.1",995001,-0.0746344,-0.0118206,-0.08203
"NC_058193.1",1005001,0.132229,0.0159335,0.128924
"NC_058193.1",1015001,0.0272067,0.0110143,0.0659476
"NC_058193.1",1030001,0.299873,-0.00795234,0.240235
"NC_058193.1",1035001,0.146722,-0.00594827,0.0970381
"NC_058193.1",1050001,-0.0303973,0.00978584,-0.0805919
"NC_058193.1",1085001,-0.0700876,-0.00349,-0.092005
"NC_058193.1",1100001,0.079413,-0.0132778,0.0452848
"NC_058193.1",1145001,-0.0534102,-0.0129559,-0.0575428
"NC_058193.1",1175001,-0.144564,0.0268252,-0.11592
"NC_058193.1",1205001,-0.0391731,0.0354137,NA
"NC_058193.1",1265001,-0.0449569,-0.00225107,-0.0432982
"NC_058193.1",1295001,0.098778,0.0177468,0.0811343
"NC_058193.1",1300001,0.0944563,0.000439321,0.11713
"NC_058193.1",1325001,0.0865466,-0.010183,0.0772068
"NC_058193.1",1370001,-0.133455,-0.0132552,-0.132576
"NC_058193.1",1390001,-0.0408645,-0.000658524,-0.0703995
"NC_058193.1",1400001,0.106119,0.000498999,0.207514
"NC_058193.1",1435001,-0.0492061,-0.00801221,-0.0770842
"NC_058193.1",1495001,0.318019,0.0343282,-0.0278296
"NC_058193.1",1505001,0.0702093,-0.00398945,0.169753
"NC_058193.1",1515001,0.0355146,-0.00411667,0.0535385
"NC_058193.1",1520001,-0.020179,0.00953681,0.00329312
"NC_058193.1",1525001,0.00608881,0.00895804,0.0188268
"NC_058193.1",1535001,-0.0630919,0.0346012,NA
"NC_058193.1",1540001,0.292392,0.0181069,0.415371
"NC_058193.1",1550001,-0.0340343,-0.00296468,-0.0231677
"NC_058193.1",1555001,0.321415,0.00220962,0.31948
"NC_058193.1",1565001,-0.0453723,0.0156722,-0.00252449
"NC_058193.1",1570001,0.286436,0.00596517,0.348688
"NC_058193.1",1575001,0.192752,-0.00627839,0.240598
"NC_058193.1",1590001,0.335274,0.0165708,0.36757
"NC_058193.1",1605001,0.375064,-0.0020752,0.39925
"NC_058193.1",1680001,-0.077368,-0.00925765,-0.0540506
"NC_058193.1",1690001,NA,0.0479158,-0.0586148
"NC_058193.1",1695001,-0.0784312,0.00110004,-0.0699874
"NC_058193.1",1700001,0.405742,-0.00112086,0.456731
"NC_058193.1",1725001,0.112724,-0.0092243,0.0951857
"NC_058193.1",1735001,0.114489,0.0231012,-0.036644
"NC_058193.1",1745001,0.0717649,0.0429824,0.0853754
"NC_058193.1",1750001,0.349153,0.015266,0.366517
"NC_058193.1",1755001,-0.0367985,0.0314034,-0.0916449
"NC_058193.1",1765001,0.693397,-0.00491918,0.808973
"NC_058193.1",1800001,-0.110922,-0.00435458,-0.0830678
"NC_058193.1",1810001,-0.0469582,0.0380872,-0.0528433
"NC_058193.1",1815001,-0.0584666,-0.0075721,-0.046729
"NC_058193.1",1820001,0.618216,-0.00391211,0.773686
"NC_058193.1",1895001,0.300747,0.00881552,0.294803
"NC_058193.1",1900001,0.250967,0.00502736,0.301933
"NC_058193.1",1905001,0.197767,0.00107083,0.210146
"NC_058193.1",1915001,-0.0238421,-0.00120423,-0.0575428
