"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058191.1",10001,-0.0195784,0.00751104,-0.0167379
"NC_058191.1",15001,-0.0721649,-0.0138097,-0.116001
"NC_058191.1",20001,-0.0149141,-0.00395213,-0.0792903
"NC_058191.1",25001,0.08493,-0.00726067,0.0430099
"NC_058191.1",30001,0.105037,-0.00232407,0.0768363
"NC_058191.1",35001,0.0981103,0.00835845,0.121043
"NC_058191.1",40001,0.282135,-0.00370514,0.256791
"NC_058191.1",45001,0.101499,-0.00161207,0.0617432
"NC_058191.1",50001,0.156037,0.019255,0.0576615
"NC_058191.1",55001,0.105331,0.0096314,0.0259174
"NC_058191.1",60001,0.132043,0.000698093,0.122067
"NC_058191.1",65001,0.227471,0.0141387,0.0974102
"NC_058191.1",70001,-0.00067506,0.00515836,0.0510127
"NC_058191.1",90001,0.0359778,0.0129927,0.101715
"NC_058191.1",95001,0.0762375,-0.00444683,0.0766044
"NC_058191.1",100001,0.0870133,0.00273831,0.0700641
"NC_058191.1",105001,0.146914,0.0141987,0.0624892
"NC_058191.1",110001,0.0521922,0.0121069,-0.024024
"NC_058191.1",115001,0.0791035,0.00440042,0.058867
"NC_058191.1",120001,0.00339721,0.0192869,0.00392764
"NC_058191.1",125001,0.137142,0.00697984,0.0205105
"NC_058191.1",130001,0.0920108,0.00920111,0.0857913
"NC_058191.1",135001,0.0346387,0.00145817,0.019111
"NC_058191.1",140001,-0.052414,0.00147242,-0.0025054
"NC_058191.1",145001,0.0793692,0.0127236,0.0127635
"NC_058191.1",150001,-0.00778895,0.012305,0.0456068
"NC_058191.1",155001,0.035267,0.00785999,0.0915237
"NC_058191.1",160001,0.0391978,0.00253097,0.0565562
"NC_058191.1",165001,0.116211,-0.00847796,0.109294
"NC_058191.1",170001,-0.0101405,-0.0103047,-0.01299
"NC_058191.1",175001,0.0848362,0.000380485,0.214139
"NC_058191.1",180001,0.00732775,-0.00151939,0.0188011
"NC_058191.1",185001,0.163861,0.00395374,0.125164
"NC_058191.1",190001,-0.0289197,0.0129569,0.00588581
"NC_058191.1",195001,0.0324999,0.000144802,0.0271585
"NC_058191.1",200001,-0.0591344,0.00796145,-0.0282286
"NC_058191.1",210001,-0.0397157,0.0202101,-0.0282315
"NC_058191.1",215001,0.0323578,-0.00182798,0.00487914
"NC_058191.1",220001,0.0327049,0.00233401,0.00339378
"NC_058191.1",225001,0.06394,0.00253757,0.0749273
