"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058194.1",735001,-0.0040231,-0.00699109,-0.0339427
"NC_058194.1",750001,-0.0118644,0.0135765,-0.0490351
"NC_058194.1",760001,-0.0822008,-0.0204008,-0.198718
"NC_058194.1",765001,0.712924,0.00514018,0.618753
"NC_058194.1",770001,0.661978,0.0429013,0.446292
"NC_058194.1",780001,-0.099825,0.0260913,-0.0329442
"NC_058194.1",785001,-0.0191734,0.0186276,-0.0470454
"NC_058194.1",795001,-0.0605665,-0.00295975,-0.0816709
"NC_058194.1",800001,0.303407,0.00587626,0.0721536
"NC_058194.1",880001,0.0633127,0.00674639,-0.0452308
"NC_058194.1",895001,-0.133962,-0.0129463,-0.131895
"NC_058194.1",900001,-0.0963499,-0.00641973,-0.104657
"NC_058194.1",910001,-0.0668545,0.0336244,-0.0672418
"NC_058194.1",915001,0.342406,-0.00659728,0.4763
"NC_058194.1",920001,0.591782,-0.00969016,0.650533
"NC_058194.1",1035001,0.53482,0.00986259,0.74954
"NC_058194.1",1110001,0.248734,0.0139593,0.35038
"NC_058194.1",1150001,-0.0422926,0.0196536,0.0224771
"NC_058194.1",1780001,NA,0.0786878,-0.0360342
"NC_058194.1",3665001,-0.0916301,0.0496569,-0.0342123
"NC_058194.1",3680001,0.145058,-0.00304313,0.298749
"NC_058194.1",3695001,0.0698839,0.00983723,0.148845
"NC_058194.1",3700001,0.145558,0.0107958,0.23932
"NC_058194.1",3705001,-0.0129302,0.0196408,-0.0575428
"NC_058194.1",3710001,NA,0.0514151,-0.0575428
"NC_058194.1",3795001,0.070888,0.0469565,-0.0640194
"NC_058194.1",3800001,0.0087364,-0.008358,-0.00309862
"NC_058194.1",3895001,-0.102867,-0.00347444,-0.131519
"NC_058194.1",3935001,0.0878973,0.0236787,0.537976
"NC_058194.1",3990001,-0.00719813,0.00878876,0.016996
"NC_058194.1",3995001,0.0100542,0.0202155,0.0409181
"NC_058194.1",4005001,-0.0363173,0.00663646,-0.0376123
"NC_058194.1",4015001,-0.0530029,0.00831248,-0.042432
"NC_058194.1",4040001,0.0305786,0.0354281,-0.0445058
"NC_058194.1",4050001,-0.00193385,-0.00369648,0.0399303
"NC_058194.1",4055001,-0.0721649,-0.00226273,-0.0916468
"NC_058194.1",4060001,0.144552,-0.000655767,0.118462
"NC_058194.1",4070001,0.0109639,0.00225072,0.0581694
"NC_058194.1",4075001,-0.0626721,0.0272952,-0.0232336
"NC_058194.1",4100001,-0.08104,0.0422949,0.101542
"NC_058194.1",4110001,-0.0710313,-0.00011793,-0.0819232
"NC_058194.1",4120001,-0.0929762,0.00408859,-0.0365944
"NC_058194.1",4125001,0.330346,0.00474402,0.463652
"NC_058194.1",4165001,0.0601225,0.0198798,0.0516253
"NC_058194.1",4170001,0.53482,0.00986259,0.74954
"NC_058194.1",4180001,0.139213,0.000256698,0.158062
"NC_058194.1",4185001,0.391519,0.0116452,0.516868
"NC_058194.1",4200001,-0.0819436,0.0186351,-0.0730444
"NC_058194.1",4210001,0.645525,-0.00453536,0.540294
"NC_058194.1",4215001,0.158845,0.00459893,0.299115
"NC_058194.1",4220001,0.0242121,0.0274901,0.0364332
"NC_058194.1",4235001,0.324861,0.00294829,0.359795
"NC_058194.1",4325001,0.0830607,0.00463809,0.0214177
"NC_058194.1",4385001,NA,0.0573033,-0.0976297
"NC_058194.1",4390001,0.0508211,-0.00066096,0.0348146
"NC_058194.1",4405001,0.222555,0.0117409,0.2358
"NC_058194.1",4415001,-0.0736529,0.0599006,-0.029038
"NC_058194.1",4460001,-0.0571363,-0.0136796,-0.0568182
"NC_058194.1",4590001,0.649299,-0.00314456,0.600698
"NC_058194.1",4605001,-0.0778057,-0.00284791,-0.103426
"NC_058194.1",4610001,-0.0849634,-0.00178951,-0.0905225
"NC_058194.1",4615001,-0.0122655,0.000873139,-0.0445993
"NC_058194.1",4620001,0.555082,-0.00411698,0.564382
"NC_058194.1",4670001,0.60147,0.00251228,0.782217
"NC_058194.1",4675001,0.41946,-0.00863011,0.496646
"NC_058194.1",4680001,0.646294,-0.0085217,0.74795
"NC_058194.1",4685001,0.174818,0.00664632,0.187957
"NC_058194.1",4690001,0.52019,-0.00271028,0.703415
"NC_058194.1",4700001,0.575132,-0.00945322,0.612567
"NC_058194.1",4705001,0.120073,-0.00182972,0.131103
"NC_058194.1",4710001,-0.037778,-0.00437987,-0.0145664
"NC_058194.1",4740001,-0.110922,-0.00583608,-0.132576
"NC_058194.1",4755001,0.57924,0.0239841,0.701001
"NC_058194.1",4795001,-0.102259,-0.000726732,-0.0868987
"NC_058194.1",4805001,0.541892,-0.00839804,0.588042
"NC_058194.1",4810001,0.417993,-0.00573342,0.546877
"NC_058194.1",4815001,0.0729386,0.0020282,0.0905061
