"CHROM","BIN_START","TajD_Europe","pi_Europe"
"NC_058189.1",10000,-0.159548,NA
"NC_058189.1",10001,NA,0.000707947
"NC_058189.1",20000,-0.139243,NA
"NC_058189.1",20001,NA,0.00128336
"NC_058189.1",30000,-0.477539,NA
"NC_058189.1",30001,NA,0.000716755
"NC_058189.1",40000,-0.333235,NA
"NC_058189.1",40001,NA,0.000447066
"NC_058189.1",50000,0.0237032,NA
"NC_058189.1",50001,NA,0.000858604
"NC_058189.1",60000,-0.217692,NA
"NC_058189.1",60001,NA,0.0012968
"NC_058189.1",70000,0.452931,NA
"NC_058189.1",70001,NA,0.000780414
"NC_058189.1",80000,0.0297931,NA
"NC_058189.1",80001,NA,0.00122096
"NC_058189.1",90000,-0.6522,NA
"NC_058189.1",90001,NA,0.000593142
"NC_058189.1",100000,-0.752911,NA
"NC_058189.1",100001,NA,0.000285503
"NC_058189.1",110000,-0.415718,NA
"NC_058189.1",110001,NA,0.00028383
"NC_058189.1",120000,-0.339159,NA
"NC_058189.1",120001,NA,0.000925546
"NC_058189.1",130000,0.183385,NA
"NC_058189.1",130001,NA,0.000608914
"NC_058189.1",140000,0.106598,NA
"NC_058189.1",140001,NA,0.00135021
"NC_058189.1",150000,-0.944241,NA
"NC_058189.1",150001,NA,0.00064884
"NC_058189.1",160000,-0.41213,NA
"NC_058189.1",160001,NA,0.000920404
"NC_058189.1",170000,-0.644863,NA
"NC_058189.1",170001,NA,0.000969644
"NC_058189.1",180000,-0.0155819,NA
"NC_058189.1",180001,NA,0.0016464
"NC_058189.1",190000,-0.763977,NA
"NC_058189.1",190001,NA,0.000782368
"NC_058189.1",200000,-1.20187,NA
"NC_058189.1",200001,NA,8.46414e-06
"NC_058189.1",210000,0.314674,NA
"NC_058189.1",210001,NA,0.000297786
"NC_058189.1",220000,-0.269348,NA
"NC_058189.1",220001,NA,0.0007281
"NC_058189.1",230000,-4.44104e-05,NA
"NC_058189.1",230001,NA,8.11471e-05
"NC_058189.1",240000,0.919347,NA
"NC_058189.1",240001,NA,0.000160098
"NC_058189.1",250000,0.545307,NA
"NC_058189.1",250001,NA,0.000232207
"NC_058189.1",260000,-0.576848,NA
"NC_058189.1",260001,NA,0.000151679
