"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058192.1",5001,0.241076,-0.00034194,0.276744
"NC_058192.1",10001,0.235461,0.00563571,0.265543
"NC_058192.1",15001,0.110603,0.0226047,0.17881
"NC_058192.1",20001,0.0908516,0.0128975,0.087906
"NC_058192.1",25001,0.098822,0.00919039,0.153739
"NC_058192.1",30001,0.173448,0.00346811,0.22904
"NC_058192.1",35001,0.0383112,0.0138718,0.0535672
"NC_058192.1",40001,0.120561,0.00259492,0.123323
"NC_058192.1",45001,0.194254,0.013269,0.165583
"NC_058192.1",50001,0.101591,0.0163029,0.091239
"NC_058192.1",55001,0.13941,0.0313036,0.124421
"NC_058192.1",60001,0.151974,0.00996857,0.14858
"NC_058192.1",65001,0.364205,0.00348724,0.489502
"NC_058192.1",70001,0.0737896,0.00421014,0.0554199
"NC_058192.1",75001,0.0544323,0.0143228,0.096067
"NC_058192.1",80001,0.0793268,0.00315029,0.0961396
"NC_058192.1",85001,0.13051,0.00323755,0.120717
"NC_058192.1",90001,0.111777,0.00465223,0.0728455
"NC_058192.1",95001,0.0300587,0.0151351,0.0100827
"NC_058192.1",100001,0.0781166,-0.00329633,0.0678589
"NC_058192.1",105001,0.0287906,0.00574804,0.00253275
"NC_058192.1",110001,0.0994105,-0.00173778,0.0983782
"NC_058192.1",115001,0.106111,0.00180902,0.161585
"NC_058192.1",120001,0.00315335,0.0164852,0.0545777
"NC_058192.1",125001,0.0303046,-0.00394973,0.0401534
"NC_058192.1",130001,0.0639468,0.00985434,0.11889
"NC_058192.1",135001,0.0825165,0.00288427,0.101655
"NC_058192.1",140001,0.107538,0.00314749,0.0780006
"NC_058192.1",145001,0.185934,0.00504082,0.165099
"NC_058192.1",150001,0.124731,0.00741986,0.128655
"NC_058192.1",155001,0.161162,0.00858497,0.174402
"NC_058192.1",160001,0.0248868,0.00643614,0.0298633
"NC_058192.1",165001,0.371584,0.0025692,0.344832
"NC_058192.1",170001,0.0187869,0.0122228,0.000765041
"NC_058192.1",175001,0.17729,0.00918518,0.1205
"NC_058192.1",180001,0.318271,0.00775348,0.261393
"NC_058192.1",185001,0.0312721,0.00907099,0.0418098
"NC_058192.1",190001,0.0585089,0.00795283,0.0983949
"NC_058192.1",195001,0.096649,-0.00039847,0.13051
"NC_058192.1",200001,-0.00910728,0.00757446,-0.000264879
"NC_058192.1",205001,0.00948311,0.0126977,-0.00729731
"NC_058192.1",210001,0.0322777,0.00808538,0.0105438
"NC_058192.1",215001,0.0180637,0.0151854,0.025395
"NC_058192.1",220001,0.044241,0.0154791,0.0224377
"NC_058192.1",225001,0.0197357,0.00890681,0.0484972
"NC_058192.1",230001,0.0957113,0.000968425,0.082097
"NC_058192.1",235001,0.155342,-0.0001588,0.134148
"NC_058192.1",240001,0.0223903,0.00859464,0.00807103
"NC_058192.1",245001,0.011483,0.00412818,0.00582984
"NC_058192.1",250001,0.0420386,0.0115523,0.0202612
"NC_058192.1",255001,-0.00848931,0.00568136,-0.0259791
"NC_058192.1",260001,0.0214072,0.0120947,0.054177
"NC_058192.1",265001,0.0505323,0.00309575,0.0268744
"NC_058192.1",270001,0.0293856,0.00135991,0.0227626
"NC_058192.1",275001,0.0234391,0.00435565,0.00683554
"NC_058192.1",280001,0.0056219,0.00151286,-0.00278666
"NC_058192.1",285001,0.0306865,0.0118243,0.0199284
"NC_058192.1",290001,0.0202498,0.0165051,0.0524331
"NC_058192.1",295001,0.0195945,0.0110529,0.0632427
"NC_058192.1",300001,0.0236933,0.00397966,0.00727489
"NC_058192.1",305001,0.0125916,0.00247781,-0.00011471
"NC_058192.1",310001,-0.027137,0.00643164,-0.0196979
"NC_058192.1",315001,0.000847614,-0.000280903,-0.0046546
"NC_058192.1",320001,0.0293511,0.00266344,0.0356306
"NC_058192.1",325001,0.0272634,0.00337909,-0.000369402
"NC_058192.1",330001,0.0601001,0.001533,0.0185924
"NC_058192.1",335001,0.0910394,0.00652749,0.071441
"NC_058192.1",340001,0.33397,-0.000151937,0.260684
"NC_058192.1",345001,0.0865972,-0.000693563,0.0844814
"NC_058192.1",350001,0.00174582,0.00155865,0.0374947
"NC_058192.1",355001,0.0480504,-0.00856024,0.0200918
"NC_058192.1",360001,-0.0187534,0.0107065,-0.0217624
"NC_058192.1",365001,-0.0259586,0.00927062,-0.0123263
"NC_058192.1",370001,-0.013458,0.00347148,-0.0117832
"NC_058192.1",375001,-0.0037723,0.0238944,0.0200387
