"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058190.1",90001,0.0355439,-0.00020235,0.0483538
"NC_058190.1",105001,-0.000397793,0.00656224,-0.0410478
"NC_058190.1",110001,0.0563886,0.00800427,0.0241174
"NC_058190.1",115001,-0.0582867,-0.00144563,-0.0651197
"NC_058190.1",120001,0.0156391,0.00842058,0.00112665
"NC_058190.1",125001,0.087523,-0.0113961,0.0935638
"NC_058190.1",130001,-0.00624291,0.0053725,0.00949531
"NC_058190.1",135001,-0.0409442,-7.86267e-05,-0.0205847
"NC_058190.1",140001,0.0634326,0.0156852,0.0392934
"NC_058190.1",145001,0.0360906,0.0032726,0.0222429
"NC_058190.1",150001,-0.039404,0.00740798,-0.00658474
"NC_058190.1",155001,-0.0232295,0.00621286,-0.00336044
"NC_058190.1",160001,0.0284954,0.0100388,0.0485842
"NC_058190.1",165001,-0.0272294,0.0181092,-0.0460572
"NC_058190.1",170001,0.00540499,-0.00457896,0.0313595
"NC_058190.1",175001,-0.0402841,0.0211269,-0.00150223
"NC_058190.1",180001,0.00367661,0.00299695,-0.0269037
"NC_058190.1",185001,-0.0245162,0.0211069,-0.075952
"NC_058190.1",190001,-0.00514612,-0.00330774,0.00395545
"NC_058190.1",195001,-0.00859162,-0.00271755,-0.00174474
"NC_058190.1",200001,-0.00411756,-0.000931232,-0.000795328
"NC_058190.1",205001,-0.00458504,-0.00289157,-0.0791384
"NC_058190.1",210001,0.0446916,0.00720136,-0.0124408
"NC_058190.1",215001,0.00934695,-0.00109337,-0.016054
"NC_058190.1",250001,0.10637,0.0213877,0.182028
"NC_058190.1",255001,0.0321849,-0.00625891,0.0572845
"NC_058190.1",265001,0.0351967,0.00261963,0.0569724
"NC_058190.1",270001,-0.0231792,0.00646951,-0.00501515
"NC_058190.1",275001,-0.00223939,0.00635923,-0.0162162
"NC_058190.1",280001,-0.036148,0.0278413,0.0269717
"NC_058190.1",285001,0.00553273,0.00214829,0.00212469
"NC_058190.1",290001,-0.0225821,-0.00194603,-0.0295995
"NC_058190.1",305001,-0.0547386,-0.0117991,-0.0756254
"NC_058190.1",310001,0.00978042,0.00274208,-0.00309933
"NC_058190.1",320001,0.00318045,0.0062078,-0.038365
"NC_058190.1",325001,-0.00358565,-0.0013162,0.0221678
"NC_058190.1",335001,-0.017854,-0.00605906,-0.0504931
"NC_058190.1",355001,-0.0100151,0.00629369,-0.0137985
"NC_058190.1",360001,-0.0109796,-0.00265986,-0.0247347
"NC_058190.1",365001,0.0280523,0.00441467,-0.0047988
"NC_058190.1",370001,0.000373497,0.00597681,-0.0346345
"NC_058190.1",375001,-0.065626,6.73517e-05,-0.0848125
"NC_058190.1",380001,-0.0756335,4.65158e-05,-0.069113
"NC_058190.1",385001,-0.0181246,0.00943578,-0.041445
"NC_058190.1",390001,-0.0124677,0.000231826,-0.0283471
"NC_058190.1",395001,-0.0664637,-0.0108024,-0.0905951
