"CHROM","BIN_START","FST_Eur_Asia","FST_Eur_NA","FST_Asia_NA"
"NC_058196.1",205001,0.558518,0.0425337,0.0218698
"NC_058196.1",655001,-0.0980514,0.0158141,-0.0641192
"NC_058196.1",660001,0.011302,0.000610475,0.0378593
"NC_058196.1",680001,-0.0293674,0.00715943,-0.0464797
"NC_058196.1",685001,0.0622546,-0.00329758,0.0680302
"NC_058196.1",690001,0.0444428,-0.00294689,0.0685197
"NC_058196.1",695001,0.214502,0.00486549,0.189782
"NC_058196.1",700001,0.00458395,0.00255358,0.0299042
"NC_058196.1",705001,-0.023276,0.000627591,-0.0188017
"NC_058196.1",710001,0.00399718,-0.00111005,-0.0190859
"NC_058196.1",715001,0.0131945,-0.000188731,-0.0190665
"NC_058196.1",730001,-0.060409,-0.00122867,-0.065076
"NC_058196.1",735001,-0.0325788,-0.00333801,-0.0324147
"NC_058196.1",740001,0.0332612,0.0169555,-0.0381782
"NC_058196.1",745001,0.0420193,0.00634853,0.0585405
"NC_058196.1",750001,-0.0628226,0.0198759,-0.0383017
"NC_058196.1",755001,-0.103511,0.00495006,-0.0560994
"NC_058196.1",765001,0.0875926,0.0130081,-0.015624
"NC_058196.1",770001,-0.0819436,0.0613074,-0.0492236
"NC_058196.1",775001,0.0307018,0.00745406,-0.0245709
"NC_058196.1",780001,0.196684,0.00327533,0.151873
"NC_058196.1",790001,0.115393,-0.00167888,0.0956743
"NC_058196.1",810001,0.371349,0.00116435,0.408091
"NC_058196.1",815001,-0.0222922,0.00278625,-0.0550175
"NC_058196.1",820001,-0.0200974,0.126385,-0.021951
"NC_058196.1",825001,0.0814583,0.00822696,0.102866
"NC_058196.1",835001,0.111174,0.00122346,0.152625
"NC_058196.1",845001,-0.00758045,-0.00241637,-0.0300355
"NC_058196.1",850001,0.0110971,0.0388975,0.000265574
"NC_058196.1",865001,-0.126304,-0.00657919,-0.136825
"NC_058196.1",870001,0.118392,0.0151451,0.0980804
"NC_058196.1",875001,0.0773822,-0.000318881,0.0441835
"NC_058196.1",880001,-0.00819713,-0.00694674,-0.0370554
"NC_058196.1",905001,0.0980335,0.00679349,0.0297616
"NC_058196.1",910001,-0.0861155,-0.00153626,-0.118424
"NC_058196.1",920001,NA,0.0455697,-0.0365344
"NC_058196.1",925001,0.0381304,-0.00265062,-0.00245425
"NC_058196.1",940001,-0.0321522,-0.00920374,-0.0624609
"NC_058196.1",970001,0.273056,0.00235409,0.201906
"NC_058196.1",980001,0.577292,0.0806107,-0.083353
"NC_058196.1",1000001,-0.0383457,-0.00603316,-0.0564787
"NC_058196.1",1010001,0.153735,0.00859367,0.0591832
"NC_058196.1",1030001,0.0754998,0.0185231,0.0222494
"NC_058196.1",1050001,-0.0304226,-0.00292563,-0.0596208
"NC_058196.1",1080001,-0.0650711,0.0158748,-0.0161629
"NC_058196.1",1110001,-0.0670426,0.0166914,-0.091645
"NC_058196.1",1150001,0.043599,-0.00557124,0.0419371
"NC_058196.1",1155001,-0.0162491,0.00524144,-0.0268349
"NC_058196.1",1160001,0.754358,0.0421427,0.93145
"NC_058196.1",1250001,-0.0645559,-0.0100422,-0.0796194
"NC_058196.1",1310001,0.177949,-0.00751068,0.0907263
